,nom_mun,qtd_dom,qtd_dom_E1,qtd_dom_E2,qtd_dom_T1,qtd_0a11,qtd_0a11_pob_vul
2681,Leme do Prado,1330,16,97,16,962,466
2682,Leopoldina,16675,133,419,47,8091,2664
2683,Liberdade,1727,18,57,22,784,361
2684,Lima Duarte,5477,50,166,32,2570,883
2685,Limeira do Oeste,2351,16,54,11,1127,491
2686,Lontra,2335,109,152,61,1663,1159
2687,Luisburgo,1898,116,72,123,1282,1029
2688,Luislândia,1700,92,110,53,1444,1173
2689,Luminárias,1792,28,43,7,941,342
2690,Luz,5919,74,120,20,2737,770
2691,Machacalis,2185,82,91,16,1402,696
2692,Machado,11662,302,194,120,6990,2596
2693,Madre de Deus de Minas,1527,27,25,6,767,300
2694,Malacacheta,5522,260,404,142,3765,2546
2695,Mamonas,1982,53,56,59,962,680
2696,Manga,5191,244,621,92,4639,3729
2697,Manhuaçu,24386,532,692,516,16054,6322
2698,Manhumirim,6917,144,227,130,4078,1868
2699,Mantena,9155,224,227,108,4698,1514
2700,Maravilhas,2061,57,93,35,1317,511
2701,Mar de Espanha,3943,74,90,48,1786,533
2702,Maria da Fé,4014,61,104,28,2549,1129
2703,Mariana,16127,145,576,115,9390,2895
2704,Marilac,1312,32,67,8,866,390
2705,Mário Campos,3875,62,148,59,2649,1141
2706,Maripá de Minas,891,21,9,7,429,167
2707,Marliéria,1257,18,66,12,741,304
2708,Marmelópolis,911,15,27,27,474,243
2709,Martinho Campos,4154,104,141,17,2155,1089
2710,Martins Soares,2208,84,83,72,1479,1048
2711,Mata Verde,2240,98,171,26,1642,798
2712,Materlândia,1286,45,122,10,957,706
2713,Mateus Leme,8600,149,380,78,5133,2111
2714,Matias Barbosa,4281,42,129,37,2194,526
2715,Matias Cardoso,2504,153,331,102,2527,2044
2716,Matipó,5079,125,293,113,3829,2015
2717,Mato Verde,4002,103,130,121,2111,1477
2718,Matozinhos,9963,147,234,38,5977,1642
2719,Matutina,1403,21,30,11,545,173
2720,Medeiros,1134,16,22,13,607,309
2721,Medina,6156,140,472,122,4220,2310
2722,Mendes Pimentel,2083,57,73,37,1080,657
2723,Mercês,3331,92,76,52,1698,873
2724,Mesquita,1811,52,60,34,1005,585
2725,Minas Novas,7582,471,877,441,6679,5471
2726,Minduri,1147,28,69,23,653,291
2727,Mirabela,3771,137,174,94,2549,1863
2728,Miradouro,3331,55,171,106,1787,913
2729,Miraí,4209,52,117,67,2310,881
2730,Miravânia,1189,68,131,57,1052,865
2731,Moeda,1485,22,91,14,781,459
2732,Moema,2287,50,21,40,1219,366
2733,Monjolos,690,28,50,3,458,325
2734,Monsenhor Paulo,2547,53,46,22,1406,442
2735,Montalvânia,4420,162,352,92,3268,2448
2736,Monte Alegre de Minas,6861,106,211,103,3154,1216
2737,Monte Azul,6983,193,314,224,3297,2278
2738,Monte Belo,4368,80,63,48,2037,849
2739,Monte Carmelo,15149,85,241,52,7889,1913
2740,Monte Formoso,1230,76,135,48,1297,1061
2741,Monte Santo de Minas,7245,108,183,55,3255,1199
2742,Montes Claros,105295,1091,1761,629,65779,17450
2743,Monte Sião,7060,124,153,161,3358,1095
2744,Montezuma,1897,101,187,102,1641,1173
2745,Morada Nova de Minas,2843,51,132,30,1433,747
2746,Morro da Garça,811,22,21,5,524,347
2747,Morro do Pilar,1069,62,61,18,602,353
2748,Munhoz,1954,73,63,24,1139,633
2749,Muriaé,33416,391,564,235,15566,3616
2750,Mutum,8572,409,343,400,4923,3390
2751,Muzambinho,6670,80,139,79,3136,1027
2752,Nacip Raydan,924,33,73,18,621,403
2753,Nanuque,13061,170,315,75,7599,2954
2754,Naque,1840,47,71,25,1225,501
2755,Natalândia,1064,18,48,24,681,303
2756,Natércia,1609,17,22,15,637,257
2757,Nazareno,2451,29,23,13,1416,497
2758,Nepomuceno,8031,184,232,123,4526,1965
2759,Ninheira,2592,137,362,109,1942,1629
2760,Nova Belém,1175,32,68,36,728,570
2761,Nova Era,5238,46,128,33,3038,986
2762,Nova Lima,24502,147,349,79,12551,1907
2763,Nova Módica,1174,21,67,16,718,483
2764,Nova Ponte,3986,49,123,50,2481,687
2765,Nova Porteirinha,2032,84,128,129,1491,1126
2766,Nova Resende,4975,266,103,194,2811,1697
2767,Nova Serrana,22100,396,310,316,14638,2969
2768,Novo Cruzeiro,7991,582,918,427,7551,6206
2769,Novo Oriente de Minas,3026,141,354,118,2099,1528
2770,Novorizonte,1420,52,57,26,1029,721
2771,Olaria,670,13,18,11,280,134
2772,Olhos-d'Água,1483,50,114,88,1160,793
2773,Olímpio Noronha,799,6,21,6,398,116
2774,Oliveira,12112,187,188,60,6456,1552
2775,Oliveira Fortes,671,21,19,6,335,204
2776,Onça de Pitangui,928,31,46,31,594,381
2777,Oratórios,1285,13,73,8,807,364
2778,Orizânia,2204,135,210,70,1488,1151
2779,Ouro Branco,10432,77,272,54,5906,1220
2780,Ouro Fino,10620,133,145,152,4771,1613
2781,Ouro Preto,20662,195,586,100,11658,3730
2782,Ouro Verde de Minas,1713,71,114,37,1231,820
2783,Padre Carvalho,1406,117,98,80,1457,1076
2784,Padre Paraíso,5016,258,471,170,4060,2723
2785,Paineiras,1688,33,73,29,648,379
2786,Pains,2677,26,31,46,1174,292
2787,Pai Pedro,1640,103,124,33,1218,957
2788,Paiva,525,9,9,7,188,73
2789,Palma,2067,26,77,3,953,431
2790,Palmópolis,2079,103,204,98,1328,963
2791,Papagaios,4090,163,247,75,2969,1590
2792,Paracatu,24042,542,500,207,17129,6177
2793,Pará de Minas,26023,156,273,101,13931,2051
2794,Paraguaçu,6389,77,110,24,3253,924
2795,Paraisópolis,6460,98,145,50,3181,810
2796,Paraopeba,6742,125,265,131,4125,1694
2797,Passabém,559,5,39,14,267,176
2798,Passa Quatro,4864,57,81,39,2606,853
2799,Passa Tempo,2750,32,84,17,1141,436
2800,Passa Vinte,702,6,50,14,325,163
2801,Passos,33750,327,356,190,17203,3053
2802,Patis,1526,95,103,40,1152,945
2803,Patos de Minas,45985,345,287,307,21734,3936
2804,Patrocínio,26022,391,449,261,15122,4517
