municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_atraso_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis
Estrela Dalva,827,2,40,10,381,193
Estrela do Indaiá,1233,22,49,9,540,307
Estrela do Sul,2476,40,63,30,1261,457
Eugenópolis,3620,56,82,29,1636,617
Ewbank da Câmara,1092,0,14,0,688,127
Extrema,9160,71,138,21,4781,1025
Fama,822,17,24,12,343,155
Faria Lemos,1127,13,37,26,596,310
Felício dos Santos,1494,53,195,69,1082,901
São Gonçalo do Rio Preto,877,31,84,35,597,400
Felisburgo,2053,67,182,59,1362,798
Felixlândia,4561,90,268,71,2578,1594
Fernandes Tourinho,983,28,44,4,549,283
Ferros,3409,147,231,77,2001,1680
Fervedouro,3121,113,230,67,2181,1588
Florestal,2059,28,72,25,1091,405
Formiga,21841,214,162,94,9219,1493
Formoso,2250,102,158,103,1759,1301
Fortaleza de Minas,1391,28,28,9,733,232
Fortuna de Minas,822,9,18,14,469,236
Francisco Badaró,2823,91,237,95,1711,1326
Francisco Dumont,1506,88,83,16,1020,746
Francisco Sá,7212,232,366,164,4855,3313
Franciscópolis,1667,82,162,71,1253,846
Frei Gaspar,1710,65,140,36,1260,875
Frei Inocêncio,2733,45,165,39,1877,920
Frei Lagonegro,904,60,122,8,659,560
Fronteira,4673,64,59,79,2748,582
Fronteira dos Vales,1407,58,65,28,973,631
Fruta de Leite,1592,152,191,64,1467,1286
Frutal,18219,180,272,105,8491,2414
Funilândia,1203,34,50,3,749,370
Galiléia,2292,63,64,41,1328,619
Gameleiras,1485,54,97,35,936,782
Glaucilândia,854,24,22,3,541,382
Goiabeira,1058,19,26,9,579,241
Goianá,1215,6,35,15,582,242
Gonçalves,1383,16,37,27,690,385
Gonzaga,1529,60,111,34,1186,775
Gouveia,3377,71,138,30,1910,863
Governador Valadares,83051,830,1509,418,47619,10978
Grão Mogol,3930,256,421,184,3161,2403
Grupiara,507,5,8,4,210,62
Guanhães,9405,225,481,136,5645,2588
Guapé,4461,51,97,46,2325,941
Guaraciaba,2977,102,157,111,1552,1122
