municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_distorcao_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis,porcentagem_domicilios_crianca_fora_da_escola,porcentagem_domicilios_crianca_com_atraso_escolar,porcentagem_domicilios_trabalho_infantil,porcentagem_criancas_pobres_vulneraveis,habitantes_aproximacao,gini
Tupaciguara,8442,116,139,72,3892,1196,1.3741,1.6465,0.8529,30.7297,27943,0.5047
Turmalina,5366,108,222,111,3544,1649,2.0127,4.1372,2.0686,46.5293,17761,0.5058
Turvolândia,1524,33,53,40,824,457,2.1654,3.4777,2.6247,55.4612,5044,0.4949
Ubá,32492,496,521,237,17112,4159,1.5265,1.6035,0.7294,24.3046,107549,0.5044
Ubaí,3014,182,356,138,2784,2257,6.0385,11.8115,4.5786,81.0704,9976,0.4951
Ubaporanga,3701,153,125,116,2241,1418,4.1340,3.3775,3.1343,63.2753,12250,0.4113
Uberaba,99584,370,970,303,44836,7008,0.3715,0.9741,0.3043,15.6303,329623,0.5052
Uberlândia,198156,1375,1994,575,98305,11743,0.6939,1.0063,0.2902,11.9455,655896,0.5122
Umburatiba,844,12,32,12,586,259,1.4218,3.7915,1.4218,44.1980,2794,0.4973
Unaí,25105,327,470,577,14278,5175,1.3025,1.8721,2.2983,36.2446,83098,0.5347
União de Minas,1603,20,33,30,740,271,1.2477,2.0586,1.8715,36.6216,5306,0.4588
Uruana de Minas,1060,17,35,12,623,388,1.6038,3.3019,1.1321,62.2793,3509,0.5361
Urucânia,2896,59,159,23,1979,999,2.0373,5.4903,0.7942,50.4800,9586,0.4131
Urucuia,3071,195,372,89,3468,2837,6.3497,12.1133,2.8981,81.8051,10165,0.4704
Vargem Alegre,2064,43,63,27,1120,443,2.0833,3.0523,1.3081,39.5536,6832,0.4994
Vargem Bonita,803,4,13,15,345,153,0.4981,1.6189,1.8680,44.3478,2658,0.3889
Vargem Grande do Rio Pardo,1186,88,110,43,996,790,7.4199,9.2749,3.6256,79.3173,3926,0.4576
Varginha,37844,262,419,112,20153,3463,0.6923,1.1072,0.2960,17.1835,125264,0.5186
Varjão de Minas,1960,24,52,17,1212,251,1.2245,2.6531,0.8673,20.7096,6488,0.4042
Várzea da Palma,10817,258,498,132,7054,3797,2.3851,4.6039,1.2203,53.8276,35804,0.4700
Varzelândia,4856,359,610,306,4514,3911,7.3929,12.5618,6.3015,86.6416,16073,0.5144
Vazante,6541,50,43,76,3345,766,0.7644,0.6574,1.1619,22.8999,21651,0.4606
Verdelândia,2139,152,315,76,2213,1790,7.1061,14.7265,3.5531,80.8857,7080,0.4558
Veredinha,1640,41,72,94,1041,486,2.5000,4.3902,5.7317,46.6859,5428,0.4346
Veríssimo,1178,25,32,11,610,324,2.1222,2.7165,0.9338,53.1148,3899,0.5029
Vermelho Novo,1458,68,49,41,836,629,4.6639,3.3608,2.8121,75.2392,4826,0.5316
Vespasiano,30203,526,774,155,20566,5137,1.7415,2.5627,0.5132,24.9781,99972,0.4380
Viçosa,22900,217,473,97,11127,2626,0.9476,2.0655,0.4236,23.6003,75799,0.5628
Vieiras,1168,25,48,31,556,310,2.1404,4.1096,2.6541,55.7554,3866,0.4314
Virgem da Lapa,3953,201,244,169,2375,1577,5.0847,6.1725,4.2752,66.4000,13084,0.4999
Virgínia,2682,54,75,44,1450,848,2.0134,2.7964,1.6406,58.4828,8877,0.4741
Virginópolis,3041,87,191,54,1946,1112,2.8609,6.2808,1.7757,57.1429,10066,0.4983
Virgolândia,1776,50,111,77,1093,659,2.8153,6.2500,4.3356,60.2928,5879,0.5019
Visconde do Rio Branco,12180,161,206,55,6304,1985,1.3218,1.6913,0.4516,31.4879,40316,0.4941
Volta Grande,1540,22,91,11,929,499,1.4286,5.9091,0.7143,53.7137,5097,0.5230
Wenceslau Braz,789,12,16,8,463,270,1.5209,2.0279,1.0139,58.3153,2612,0.4360
