municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_distorcao_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis,porcentagem_domicilios_crianca_fora_da_escola,porcentagem_domicilios_crianca_com_atraso_escolar,porcentagem_domicilios_trabalho_infantil,porcentagem_criancas_pobres_vulneraveis,habitantes_aproximacao,gini
Conceição da Aparecida,3211,56,46,57,1778,972,1.7440,1.4326,1.7751,54.6682,10628,0.4584
Conceição da Barra de Minas,1215,40,22,7,643,316,3.2922,1.8107,0.5761,49.1446,4022,0.4992
Conceição das Alagoas,7181,53,236,47,4530,1385,0.7381,3.2865,0.6545,30.5740,23769,0.5263
Conceição das Pedras,855,23,22,0,415,201,2.6901,2.5731,0.0000,48.4337,2830,0.4869
Conceição de Ipanema,1458,31,29,56,729,540,2.1262,1.9890,3.8409,74.0741,4826,0.5422
Conceição do Mato Dentro,5122,145,396,132,3649,2419,2.8309,7.7314,2.5771,66.2921,16954,0.4975
Conceição do Pará,1654,36,20,22,886,319,2.1765,1.2092,1.3301,36.0045,5475,0.4235
Conceição do Rio Verde,4038,119,159,47,2448,998,2.9470,3.9376,1.1639,40.7680,13366,0.5307
Conceição dos Ouros,3226,18,46,29,1893,508,0.5580,1.4259,0.8989,26.8357,10678,0.3894
Cônego Marinho,1829,73,194,106,1448,1222,3.9913,10.6069,5.7955,84.3923,6054,0.5294
Confins,1714,27,50,10,992,354,1.5753,2.9172,0.5834,35.6855,5673,0.4546
Congonhal,3481,61,72,78,1550,468,1.7524,2.0684,2.2407,30.1935,11522,0.4576
Congonhas,14143,63,310,37,8305,2008,0.4455,2.1919,0.2616,24.1782,46813,0.5052
Congonhas do Norte,1449,91,117,17,979,737,6.2802,8.0745,1.1732,75.2809,4796,0.4990
Conquista,2120,12,40,10,1094,283,0.5660,1.8868,0.4717,25.8684,7017,0.4478
Conselheiro Lafaiete,35450,310,667,122,18375,3296,0.8745,1.8815,0.3441,17.9374,117340,0.4988
Conselheiro Pena,7533,128,292,100,4016,1592,1.6992,3.8763,1.3275,39.6414,24934,0.5175
Consolação,563,21,8,17,269,162,3.7300,1.4210,3.0195,60.2230,1864,0.3731
Contagem,187429,1310,2115,588,100940,15460,0.6989,1.1284,0.3137,15.3160,620390,0.4953
Coqueiral,2894,45,103,20,1606,729,1.5549,3.5591,0.6911,45.3923,9579,0.4901
Coração de Jesus,7767,356,327,434,5022,3910,4.5835,4.2101,5.5877,77.8574,25709,0.4975
Cordisburgo,2716,79,81,33,1322,873,2.9087,2.9823,1.2150,66.0363,8990,0.4606
Cordislândia,1095,23,41,13,650,247,2.1005,3.7443,1.1872,38.0000,3624,0.4573
Corinto,7429,129,290,29,4385,2067,1.7364,3.9036,0.3904,47.1380,24590,0.5454
Coroaci,2997,124,179,78,1831,1321,4.1375,5.9726,2.6026,72.1464,9920,0.5062
Coromandel,9761,135,245,117,4321,1708,1.3831,2.5100,1.1986,39.5279,32309,0.5130
Coronel Fabriciano,31912,330,549,127,17752,4474,1.0341,1.7204,0.3980,25.2028,105629,0.4983
Coronel Murta,2538,53,111,67,1690,1152,2.0883,4.3735,2.6399,68.1657,8401,0.4929
Coronel Pacheco,927,11,42,6,436,200,1.1866,4.5307,0.6472,45.8716,3068,0.4238
Coronel Xavier Chaves,996,17,59,9,529,257,1.7068,5.9237,0.9036,48.5822,3297,0.5335
Córrego Danta,1216,13,23,2,512,247,1.0691,1.8914,0.1645,48.2422,4025,0.4815
Córrego do Bom Jesus,1299,16,19,6,522,238,1.2317,1.4627,0.4619,45.5939,4300,0.3851
Córrego Fundo,1818,30,37,10,958,389,1.6502,2.0352,0.5501,40.6054,6018,0.3288
Córrego Novo,998,20,18,19,581,264,2.0040,1.8036,1.9038,45.4389,3303,0.4347
Couto de Magalhães de Minas,1234,22,42,2,770,262,1.7828,3.4036,0.1621,34.0260,4085,0.4684
Crisólita,1757,98,120,48,1356,943,5.5777,6.8298,2.7319,69.5428,5816,0.5154
Cristais,3749,99,69,31,1947,647,2.6407,1.8405,0.8269,33.2306,12409,0.5835
Cristália,1489,89,101,34,1606,1150,5.9772,6.7831,2.2834,71.6065,4929,0.5239
Cristiano Otoni,1417,13,45,10,934,368,0.9174,3.1757,0.7057,39.4004,4690,0.4465
Cristina,3131,65,98,66,1699,891,2.0760,3.1300,2.1080,52.4426,10364,0.4427
Crucilândia,1614,27,63,45,748,332,1.6729,3.9033,2.7881,44.3850,5342,0.4349
Cruzeiro da Fortaleza,1246,26,44,7,732,254,2.0867,3.5313,0.5618,34.6995,4124,0.5939
Cruzília,4572,43,181,67,2364,760,0.9405,3.9589,1.4654,32.1489,15133,0.4966
Cuparaque,1571,29,41,20,887,366,1.8460,2.6098,1.2731,41.2627,5200,0.4842
Curral de Dentro,1961,79,171,27,1557,1049,4.0286,8.7200,1.3768,67.3732,6491,0.5476
Curvelo,23067,295,760,181,13102,5107,1.2789,3.2948,0.7847,38.9788,76352,0.5213
Datas,1408,60,113,53,997,517,4.2614,8.0256,3.7642,51.8556,4660,0.4228
Delfim Moreira,2446,98,146,68,1331,778,4.0065,5.9689,2.7800,58.4523,8096,0.4534
Delfinópolis,2250,45,40,21,1234,417,2.0000,1.7778,0.9333,33.7925,7448,0.4757
Delta,2619,53,80,20,1753,440,2.0237,3.0546,0.7637,25.0998,8669,0.4117
Descoberto,1596,37,40,12,767,238,2.3183,2.5063,0.7519,31.0300,5283,0.4591
Desterro de Entre Rios,2363,44,72,29,1005,544,1.8620,3.0470,1.2273,54.1294,7822,0.4177
Desterro do Melo,971,18,60,36,421,259,1.8538,6.1792,3.7075,61.5202,3214,0.4617
Diamantina,13031,313,615,210,8285,3850,2.4020,4.7195,1.6115,46.4695,43133,0.5713
Diogo de Vasconcelos,1182,53,95,28,701,540,4.4839,8.0372,2.3689,77.0328,3912,0.5082
Dionísio,2660,20,50,11,1361,564,0.7519,1.8797,0.4135,41.4401,8805,0.4582
Divinésia,1043,30,24,18,593,272,2.8763,2.3011,1.7258,45.8685,3452,0.4026
Divino,6170,222,276,236,3870,2449,3.5981,4.4733,3.8250,63.2817,20423,0.5418
Divino das Laranjeiras,1602,23,51,17,885,434,1.4357,3.1835,1.0612,49.0395,5303,0.4505
Divinolândia de Minas,1929,80,129,68,1358,814,4.1472,6.6874,3.5251,59.9411,6385,0.4433
Divinópolis,67413,367,502,227,32883,4424,0.5444,0.7447,0.3367,13.4538,223137,0.4797
Divisa Alegre,1650,52,141,57,1433,951,3.1515,8.5455,3.4545,66.3643,5462,0.5048
Divisa Nova,1788,47,33,25,1081,422,2.6286,1.8456,1.3982,39.0379,5918,0.3952
Divisópolis,2423,115,279,33,1796,1311,4.7462,11.5147,1.3619,72.9955,8020,0.4569
Dom Bosco,1247,17,43,42,752,489,1.3633,3.4483,3.3681,65.0266,4128,0.4267
Dom Cavati,1713,31,24,21,886,356,1.8097,1.4011,1.2259,40.1806,5670,0.4487
Dom Joaquim,1336,64,94,39,835,511,4.7904,7.0359,2.9192,61.1976,4422,0.5453
Dom Silvério,1727,21,17,21,690,329,1.2160,0.9844,1.2160,47.6812,5716,0.4177
Dom Viçoso,972,12,13,9,460,200,1.2346,1.3374,0.9259,43.4783,3217,0.4153
Dona Euzébia,1896,48,83,55,992,402,2.5316,4.3776,2.9008,40.5242,6276,0.4163
Dores de Campos,3027,68,71,57,1480,369,2.2464,2.3456,1.8831,24.9324,10019,0.3997
Dores de Guanhães,1488,59,121,36,973,777,3.9651,8.1317,2.4194,79.8561,4925,0.4926
Dores do Indaiá,5056,68,68,36,2072,526,1.3449,1.3449,0.7120,25.3861,16735,0.4710
Dores do Turvo,1376,71,93,11,749,541,5.1599,6.7587,0.7994,72.2296,4555,0.4669
Doresópolis,495,2,14,1,232,73,0.4040,2.8283,0.2020,31.4655,1638,0.3953
Douradoquara,672,11,5,25,280,99,1.6369,0.7440,3.7202,35.3571,2224,0.4930
Durandé,2192,151,101,178,1571,1181,6.8887,4.6077,8.1204,75.1750,7256,0.4343
Elói Mendes,7784,166,216,156,4567,1635,2.1326,2.7749,2.0041,35.8003,25765,0.4790
Engenheiro Caldas,3208,77,128,71,2093,942,2.4002,3.9900,2.2132,45.0072,10618,0.5006
