Índice de Gini da renda domiciliar per capita segundo Município - Minas Gerais;;;
Período: 1991, 2000 e 2010;;;
312570 Felixlândia;0,5908;0,5558;0,46
312580 Fernandes Tourinho;0,5065;0,5331;0,4209
312590 Ferros;0,6215;0,5393;0,5258
312595 Fervedouro;...;0,5437;0,4825
312600 Florestal;0,5674;0,492;0,4861
312610 Formiga;0,5876;0,5349;0,49
312620 Formoso;0,5835;0,7373;0,5614
312630 Fortaleza de Minas;0,529;0,4543;0,4256
312640 Fortuna de Minas;0,4791;0,5178;0,4255
312650 Francisco Badaró;0,4583;0,4932;0,4689
312660 Francisco Dumont;0,5173;0,5366;0,4495
312670 Francisco Sá;0,5142;0,5374;0,5353
312675 Franciscópolis;...;0,4856;0,5096
312680 Frei Gaspar;0,5249;0,5361;0,4375
312690 Frei Inocêncio;0,6183;0,5662;0,471
312695 Frei Lagonegro;...;0,512;0,5062
312700 Fronteira;0,4699;0,5083;0,4488
312705 Fronteira dos Vales;0,4732;0,5422;0,4609
312707 Fruta de Leite;...;0,6333;0,4796
312710 Frutal;0,5627;0,5672;0,483
312720 Funilândia;0,646;0,59;0,4631
312730 Galiléia;0,6161;0,5562;0,509
312733 Gameleiras;...;0,5079;0,5062
312735 Glaucilândia;...;0,4991;0,4418
312737 Goiabeira;...;0,4747;0,4867
312738 Goianá;...;0,5007;0,4705
312740 Gonçalves;0,5432;0,5055;0,4581
312750 Gonzaga;0,4192;0,5503;0,513
312760 Gouveia;0,5242;0,5617;0,4554
312770 Governador Valadares;0,5973;0,6221;0,5377
312780 Grão Mogol;0,5506;0,6091;0,4816
312790 Grupiara;0,4782;0,4903;0,4063
312800 Guanhães;0,5578;0,5769;0,5713
312810 Guapé;0,5236;0,5267;0,3993
312820 Guaraciaba;0,5191;0,6419;0,4872
312825 Guaraciama;...;0,5896;0,4206
312830 Guaranésia;0,4891;0,5458;0,4084
312840 Guarani;0,596;0,5357;0,4936
312850 Guarará;0,5121;0,5623;0,4165
312860 Guarda-Mor;0,5882;0,5214;0,5353
312870 Guaxupé;0,5641;0,5338;0,4868
312880 Guidoval;0,5545;0,574;0,3874
312890 Guimarânia;0,5603;0,5685;0,485
312900 Guiricema;0,5359;0,4981;0,422
312910 Gurinhatã;0,5174;0,5997;0,4896
312920 Heliodora;0,5884;0,5846;0,4136
312930 Iapu;0,5115;0,518;0,5244
312940 Ibertioga;0,6311;0,5561;0,4322
312950 Ibiá;0,5045;0,6672;0,5166
312960 Ibiaí;0,5266;0,5154;0,5025
312965 Ibiracatu;...;0,6568;0,5129
312970 Ibiraci;0,4939;0,5042;0,4286
312980 Ibirité;0,466;0,4461;0,4501
312990 Ibitiúra de Minas;0,4259;0,5174;0,4059
313000 Ibituruna;0,5474;0,4781;0,4244
313005 Icaraí de Minas;...;0,6843;0,5059
313010 Igarapé;0,5571;0,5434;0,4759
313020 Igaratinga;0,4534;0,4404;0,3784
313030 Iguatama;0,5558;0,5739;0,4308
313040 Ijaci;0,41;0,5006;0,4174
313050 Ilicínea;0,4723;0,5231;0,4
313055 Imbé de Minas;...;0,5814;0,4439
313060 Inconfidentes;0,5681;0,5006;0,4915
313065 Indaiabira;...;0,5352;0,484
313070 Indianópolis;0,4366;0,5874;0,4079
313080 Ingaí;0,6519;0,6499;0,5229
313090 Inhapim;0,5969;0,6057;0,533
313100 Inhaúma;0,4799;0,4554;0,4416
313110 Inimutaba;0,4819;0,4453;0,4267
313115 Ipaba;...;0,4755;0,4056
313120 Ipanema;0,5447;0,5382;0,5237
313130 Ipatinga;0,5524;0,5572;0,5236
313140 Ipiaçu;0,4616;0,6231;0,4416
313150 Ipuiúna;0,6487;0,6392;0,5357
313160 Iraí de Minas;0,6172;0,5211;0,4839
313170 Itabira;0,567;0,5607;0,5212
313180 Itabirinha;0,5633;0,6239;0,4904
313190 Itabirito;0,4904;0,4876;0,4829
313200 Itacambira;0,4559;0,5715;0,4992
313210 Itacarambi;0,5168;0,5544;0,51
313220 Itaguara;0,5372;0,5297;0,4414
313230 Itaipé;0,5063;0,6743;0,4875
313240 Itajubá;0,5637;0,5807;0,5571
313250 Itamarandiba;0,5466;0,6733;0,5172
313260 Itamarati de Minas;0,465;0,4807;0,3959
313270 Itambacuri;0,6808;0,653;0,5228
313280 Itambé do Mato Dentro;0,6151;0,4939;0,4174
313290 Itamogi;0,5066;0,5202;0,4161
313300 Itamonte;0,543;0,5524;0,4702
313310 Itanhandu;0,6445;0,5716;0,5114
313320 Itanhomi;0,5615;0,5965;0,5689
313330 Itaobim;0,4869;0,6261;0,514
313340 Itapagipe;0,5592;0,503;0,4603
313350 Itapecerica;0,5706;0,5771;0,454
313360 Itapeva;0,4963;0,5091;0,4851
313370 Itatiaiuçu;0,5007;0,5014;0,4099
313375 Itaú de Minas;0,4541;0,4877;0,5678
313380 Itaúna;0,5168;0,5514;0,4924
313390 Itaverava;0,4988;0,5041;0,478
313400 Itinga;0,5024;0,6207;0,5079
313410 Itueta;0,495;0,5249;0,5219
313420 Ituiutaba;0,5768;0,5769;0,5093
313430 Itumirim;0,4564;0,5408;0,5362
313440 Iturama;0,5638;0,5924;0,4713
313450 Itutinga;0,5447;0,545;0,5592
313460 Jaboticatubas;0,571;0,602;0,5582
313470 Jacinto;0,5346;0,5849;0,4899
313480 Jacuí;0,4808;0,4789;0,4124
313490 Jacutinga;0,5269;0,5481;0,4326
313500 Jaguaraçu;0,4829;0,463;0,4164
313505 Jaíba;...;0,5768;0,4676
313507 Jampruca;...;0,5138;0,4841
313510 Janaúba;0,5819;0,5884;0,5405
313520 Januária;0,6315;0,6564;0,5663
313530 Japaraíba;0,427;0,4376;0,3723
313535 Japonvar;...;0,5891;0,4662
313540 Jeceaba;0,4704;0,5042;0,481
313545 Jenipapo de Minas;...;0,5268;0,4589
313550 Jequeri;0,5886;0,5966;0,5044
313560 Jequitaí;0,5836;0,5932;0,4802
313570 Jequitibá;0,5383;0,637;0,7832
313580 Jequitinhonha;0,5683;0,6243;0,5509
313590 Jesuânia;0,5676;0,5459;0,4862
313600 Joaíma;0,6964;0,6953;0,5385
313610 Joanésia;0,5077;0,519;0,4999
313620 João Monlevade;0,5047;0,5236;0,496
313630 João Pinheiro;0,5864;0,5886;0,5073
313640 Joaquim Felício;0,5414;0,5827;0,5314
313650 Jordânia;0,5909;0,5937;0,5163
313652 José Gonçalves de Minas;...;0,3872;0,4157
313655 José Raydan;...;0,6522;0,4902
313657 Josenópolis;...;0,6065;0,4621
313665 Juatuba;...;0,5522;0,4854
313670 Juiz de Fora;0,573;0,5772;0,5655
313680 Juramento;0,4555;0,4633;0,4324
313690 Juruaia;0,4982;0,4429;0,6452
313695 Juvenília;...;0,5723;0,5434
313700 Ladainha;0,4429;0,5287;0,5624
313710 Lagamar;0,5508;0,5203;0,5023
313720 Lagoa da Prata;0,4905;0,5183;0,4607
313730 Lagoa dos Patos;0,504;0,4363;0,4421
313740 Lagoa Dourada;0,6085;0,5664;0,5345
313750 Lagoa Formosa;0,5299;0,4896;0,5019
313753 Lagoa Grande;...;0,5136;0,5023
313760 Lagoa Santa;0,6109;0,5602;0,5874
313770 Lajinha;0,5256;0,5516;0,5123
313780 Lambari;0,5759;0,5773;0,4933
313790 Lamim;0,4897;0,4541;0,4569
313800 Laranjal;0,5389;0,5342;0,5139
313810 Lassance;0,4769;0,5785;0,4577
313820 Lavras;0,5557;0,5717;0,5103
313830 Leandro Ferreira;0,5859;0,4648;0,4631
313835 Leme do Prado;...;0,4893;0,4129
313840 Leopoldina;0,5832;0,5567;0,504
313850 Liberdade;0,6379;0,5518;0,6065
313860 Lima Duarte;0,5677;0,5456;0,5921
313862 Limeira do Oeste;...;0,5568;0,4704
